"CALLERTYPE","CITY","DATECANCELLED","DATEINVTDONE","DATETIMECLOSED","DATETIMEINIT","DESCRIPTION","EXPLANATION","GROUP","NEIGHBORHOOD","PLAIN_ENGLISH_NAME_FOR_PROBLEMCODE","PRJCOMPLETEDATE","PROBADDRESS","PROBADDTYPE","PROBLEMCODE","PROBZIP","REQUESTID","SRX","SRY","STATUS","SUBMITTO","WARD"
"","","","2009-04-07 00:00:00.0","2009-04-07 14:14:24.0","2009-04-07 13:42:00.0","NOTIFY ACC BY PHONE","","Animals","25","Report a dangerous animal","2009-04-14 00:00:00.0","3534 WYOMING ST","B","Dangerous Animal","","30525","893927.00000000","1006971.00000000","CLOSED","ANIMAL CARE,","08"
"","St. Louis","","2009-04-20 00:00:00.0","2009-04-20 10:47:10.0","2009-04-08 11:17:14.0","Reminder to Trim","","Trees","08","","2009-05-20 00:00:00.0","4931 JAMIESON AVE","B","Reminder to Trim","63109","30728","874873.00000000","1002706.00000000","CLOSED","FORESTRY,","16"
"","","","2009-04-14 00:00:00.0","2009-04-27 11:34:23.0","2009-04-08 14:36:11.0","Graffiti-Private","","Graffiti","32","Graffiti on private property","2009-04-28 00:00:00.0","1644 S JEFFERSON AVE","B","Graffiti-Private","","30846","900067.00000000","1013147.00000000","CLOSED","OP BRIGHTSIDE,","06"
"","","","2022-03-23 14:21:54.087","2022-03-23 14:21:54.087","2009-04-09 13:07:30.0","IF >5, NOTIFY ACC BY PHONE","test3","Animals","76","Stray animal in the area.","2009-04-20 00:00:00.0","5944 LAURA","B","Stray Animal","","31121","888780.00000000","1044031.00000000","CLOSED","ANIMAL CARE,","27"
"","","","2022-03-23 14:22:22.447","2022-03-23 14:22:22.447","2009-04-10 08:04:35.0","Animal(s) Surrender","","Animals","55","Citizen wishes to surrender animal","2009-04-21 00:00:00.0","4760 PALM","B","Animal(s) Surrender","","31226","892443.00000000","1033978.00000000","CLOSED","ANIMAL CARE,","01"
"","","","2009-04-13 11:34:00.0","2014-12-03 11:34:19.257","2009-04-10 10:44:51.0","Unsanitary Cond, Ext","","Prpty Insp Exterior","06","Unsanitary conditions -exterior","2009-05-01 00:00:00.0","5753 LISETTE","B","Unsanitary Cond, Ext","","31337","879090.00000000","998788.00000000","CLOSED","COMM SANITATION,","16"
"WEB","","","2009-05-07 00:00:00.0","2009-05-07 14:28:10.0","2009-04-13 10:18:17.0","Derelict Vehicle - Private Property","","Vehicles","73","Derelict vehicle on private property","2009-05-12 00:00:00.0","8507 TARA LN","B","Derelict-Privt Ppty","","31650","892826.00000000","1048649.00000000","CLOSED","NST,","02"
"","","","2009-05-26 00:00:00.0","2009-05-26 16:11:33.0","2009-04-13 14:04:01.0","Derelict Vehicle - Private Property","","Vehicles","74","Derelict vehicle on private property","2009-05-12 00:00:00.0","9139 EDNA","B","Derelict-Privt Ppty","","31788","895127.00000000","1052539.00000000","CLOSED","NST,","02"
"","","","2022-03-23 14:22:53.823","2022-03-23 14:22:53.823","2009-04-13 14:05:18.0","NOTIFY ACC BY PHONE","","Animals","74","Report a dangerous animal","2009-04-20 00:00:00.0","8271 NEWBY","B","Dangerous Animal","","31790","895630.00000000","1048370.00000000","CLOSED","ANIMAL CARE,","02"
"","St. Louis","","2009-07-09 00:00:00.0","2009-07-09 15:36:46.0","2009-04-13 15:32:15.0","Derelict Vehicle - Private Property","","Vehicles","76","Derelict vehicle on private property","2009-05-12 00:00:00.0","6007 THEKLA AV","B","Derelict-Privt Ppty","","31839","890120.00000000","1045349.00000000","CLOSED","NST,","27"
"","","","2009-04-15 00:00:00.0","2009-04-16 10:00:17.0","2009-04-15 09:40:03.0","Debris-alley/street","","Trash/Debris","25","Debris dumped in the street or alley","2009-04-24 00:00:00.0","2923 VICTOR ST","B","Debris-alley/street","63104","32230","897261.20300000","1010307.24700000","CLOSED","REFUSE,","06"
"","","","2009-05-07 00:00:00.0","2009-05-07 08:39:47.0","2009-04-15 15:07:23.0","Derelict Vehicle - Right of Way","","Vehicles","21","Derelict vehicle in the street","2009-05-05 00:00:00.0","2637 S 12TH","B","Derelict-Rt of Way","","32360","902166.00000000","1007899.00000000","CLOSED","NST,","09"
"","","","2010-03-18 00:00:00.0","2015-03-26 10:34:50.083","2009-04-16 10:08:31.0","Potholes - Residnl","","Right of Way Issues","65","Pothole in a residential street","2009-04-28 00:00:00.0","2101 BREMEN","B","Potholes - Residnl","","32500","904350.00000000","1030057.00000000","CLOSED","STREET DIVISION, 514","03"
"","","","2022-03-23 14:23:19.247","2022-03-23 14:23:19.247","2009-04-17 10:05:48.0","Animal(s) Surrender","","Animals","05","Citizen wishes to surrender animal","2009-04-28 00:00:00.0","3904 ITASKA","B","Animal(s) Surrender","","32856","889652.00000000","999335.00000000","CLOSED","ANIMAL CARE,","14"
"","","","2009-04-30 00:00:00.0","2009-04-30 13:10:53.0","2009-04-17 10:43:11.0","Debris-Vacant Lot","","Trash/Debris","71","Debris on a vacant lot","2009-04-28 00:00:00.0","5315 ARLINGTON AVE","B","Debris-Vacant Lot","63120","32889","892794.66000000","1041591.61900000","CLOSED","FORESTRY,","27"
"","","","2009-05-04 00:00:00.0","2010-06-14 10:48:46.0","2009-04-17 13:59:38.0","Derelict Vehicle - Private Property","","Vehicles","15","Derelict vehicle on private property","2009-05-18 00:00:00.0","3853 JUNIATA","B","Derelict-Privt Ppty","","33027","892147.00000000","1008051.00000000","CLOSED","NST,","15"
"","","","2022-03-23 14:23:56.763","2022-03-23 14:23:56.763","2009-04-17 15:02:49.0","IF >5, NOTIFY ACC BY PHONE","test3","Animals","67","Stray animal in the area.","2009-04-28 00:00:00.0","4152 PECK","B","Stray Animal","","33079","902474.00000000","1031362.00000000","CLOSED","ANIMAL CARE,","03"
"","","","2022-03-23 14:24:42.937","2022-03-23 14:24:42.937","2009-04-17 15:11:23.0","IF >5, NOTIFY ACC BY PHONE","test3","Animals","","Stray animal in the area.","2009-04-28 00:00:00.0","TUCKER & BIDDLE","B","Stray Animal","","33086","","","CLOSED","ANIMAL CARE,","05"
"","St. Louis","","2009-05-14 00:00:00.0","2012-02-13 00:00:00.0","2009-04-20 15:32:15.0","Inspect Private Tree","Trees on private property are the property owner's responsibility to maintain. However, Forestry can inspect potentially hazardous trees. ","Trees","72","Inspect private tree - possibly hazardous","2009-05-08 00:00:00.0","5268 DAVISON AV","B","Inspect Private Tree","","33481","892434.00000000","1042302.00000000","CLOSED","FORESTRY,","27"
"","St. Louis","","2009-05-14 00:00:00.0","2012-02-13 00:00:00.0","2009-04-20 15:32:15.0","Inspect Private Tree","Trees on private property are the property owner's responsibility to maintain. However, Forestry can inspect potentially hazardous trees. ","Trees","72","Inspect private tree - possibly hazardous","2009-05-08 00:00:00.0","5268 DAVISON AV","B","Inspect Private Tree","","33481","892434.00000000","1042302.00000000","CLOSED","FORESTRY,","27"
"","","","2009-04-20 00:00:00.0","2009-04-20 15:47:05.0","2009-04-20 15:47:05.0","Tree Planting requst","","Trees","60","Request for planting of a new city tree","2009-05-08 00:00:00.0","2305 ST LOUIS AV","B","Tree Planting requst","","33493","903791.00000000","1026573.00000000","CLOSED","FORESTRY,","05"
"","","","2022-03-23 14:25:15.347","2022-03-23 14:25:15.347","2009-04-22 08:08:35.0","NOTIFY ACC BY PHONE","","Animals","60","Bats reported in living area","2009-04-29 00:00:00.0","1700 N 20TH ST","B","Bats","","33849","904639.00000000","1024058.00000000","CLOSED","ANIMAL CARE,","05"
"","","","2009-05-13 00:00:00.0","2009-05-13 09:02:35.0","2009-04-22 09:36:36.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","14","Inspect city tree","2009-05-12 00:00:00.0","4931 MARDEL","B","Inspect City Tree","","33924","884899.00000000","1004831.00000000","CLOSED","FORESTRY,","10"
"","","","2009-04-22 00:00:00.0","2009-04-22 10:51:23.0","2009-04-22 10:51:23.0","Public Nuisance Report","","Nuisance Complaint","63","","","1220 WARREN","B","Public Nuisance Rpt","","33987","907349.00000000","1025616.00000000","CLOSED","NST,","05"
"","","","2009-04-22 00:00:00.0","2011-04-29 10:08:13.0","2009-04-22 11:13:53.0","Derelict Vehicle - Private Property","","Vehicles","10","Derelict vehicle on private property","2009-05-21 00:00:00.0","6838 BALSON","B","Derelict-Privt Ppty","","34007","875300.00000000","1013049.00000000","CLOSED","NST,","24"
"","","","2009-04-22 00:00:00.0","2011-04-29 10:08:32.0","2009-04-22 11:15:26.0","Derelict Vehicle - Private Property","","Vehicles","10","Derelict vehicle on private property","2009-05-21 00:00:00.0","6833 BALSON","B","Derelict-Privt Ppty","","34008","875300.00000000","1013192.00000000","CLOSED","NST,","24"
"WEB","","","2009-06-03 00:00:00.0","2009-06-03 16:01:21.0","2009-04-22 13:39:21.0","Neighborhood Stabilization Team","","Miscellaneous","72","Misc request to Neighborhood Stabilization Team","2009-05-12 00:00:00.0","5503 GENEVIEVE","B","Misc-Nbhd Stblizn Tm","","34083","892825.00000000","1043587.00000000","CLOSED","NST,","27"
"","","","2009-04-22 00:00:00.0","2009-04-22 15:47:20.0","2009-04-22 15:14:28.0","Traffic and Lighting Division","","Street Sign/Painting","35","Misc request to Traffic Division","2009-05-12 00:00:00.0","N 7TH ST & OLIVE ST","A","Misc-Traffic Div","","34146","908394.57700000","1017767.55800000","CLOSED","TRAFFIC DIVISION, 511","07"
"","","","2022-03-23 14:25:56.097","2022-03-23 14:25:56.097","2009-04-23 07:32:02.0","IF >5, NOTIFY ACC BY PHONE","test3","Animals","78","Stray animal in the area.","2009-05-04 00:00:00.0","1375 SEMPLE","B","Stray Animal","","34194","884695.00000000","1030942.00000000","CLOSED","ANIMAL CARE,","26"
"","","2009-04-23 10:11:07.0","","","2009-04-23 10:09:59.0","Derelict Vehicle - Right of Way","","Vehicles","25","Derelict vehicle in the street","2009-05-13 00:00:00.0","2600 TENNESSEE","B","Derelict-Rt of Way","","34292","895242.00000000","1010151.00000000","CANCEL","NST,","06"
"","St. Louis","","2009-04-28 00:00:00.0","2009-05-05 16:15:32.0","2009-04-23 12:13:48.0","Property Damage-REF","","Legal Claims","73","Claims Investigation","2009-04-28 00:00:00.0","5916 GOODFELLOW BLVD","B","Property Damage-REF","","34363","890367.00000000","1048866.00000000","CLOSED","REFUSE,","27"
"WEB","","","2009-04-27 00:00:00.0","2009-05-22 15:14:59.0","2009-04-24 11:59:58.0","Historic District New Construction","","Prpty Insp Exterior","46","Possible construction without a permit in a historic district","2009-05-14 00:00:00.0","5956 PERSHING","B","Const Hist No Permit","","34729","878953.00000000","1025254.00000000","CLOSED","CULTURAL RES,","28"
"","","","2009-06-03 00:00:00.0","2009-06-03 16:47:27.0","2009-04-24 12:58:43.0","Derelict Vehicle - Right of Way","","Vehicles","76","Derelict vehicle in the street","2009-05-14 00:00:00.0","6170 GARESCHE","B","Derelict-Rt of Way","","34758","888561.00000000","1045533.00000000","CLOSED","NST,","27"
"","","","2011-03-10 00:00:00.0","2014-12-18 15:06:11.887","2009-04-24 15:56:28.0","Debris-alley/street","","Trash/Debris","59","Debris dumped in the street or alley","2009-04-29 00:00:00.0","2937 HEBERT","B","Debris-alley/street","","34862","901414.00000000","1028744.00000000","CLOSED","REFUSE,","03"
"","","","2022-03-23 14:26:45.067","2022-03-23 14:26:45.067","2009-04-27 09:37:13.0","NOTIFY ACC BY PHONE","","Animals","46","Bats reported in living area","2009-05-04 00:00:00.0","324 LAUREL","B","Bats","","35026","880287.00000000","1025465.00000000","CLOSED","ANIMAL CARE,","28"
"","","","2022-03-23 14:27:07.303","2022-03-23 14:27:07.303","2009-04-27 09:37:13.0","NOTIFY ACC BY PHONE","","Animals","46","Bats reported in living area","2009-05-04 00:00:00.0","324 LAUREL","B","Bats","","35028","880287.00000000","1025465.00000000","CLOSED","ANIMAL CARE,","28"
"","St. Louis","","2022-03-23 14:27:33.6","2022-03-23 14:27:33.6","2009-04-27 09:51:07.0","IF >5, NOTIFY ACC BY PHONE","test3","Animals","69","Stray animal in the area.","2009-05-06 00:00:00.0","4425 SEXAUER AV","B","Stray Animal","","35043","894796.00000000","1037294.00000000","CLOSED","ANIMAL CARE,","21"
"","","","2022-03-23 14:28:04.227","2022-03-23 14:28:04.213","2009-04-27 09:58:59.0","IF >5, NOTIFY ACC BY PHONE","test3","Animals","76","Stray animal in the area.","2009-05-06 00:00:00.0","6029 GARESCHE","B","Stray Animal","","35053","889779.00000000","1045170.00000000","CLOSED","ANIMAL CARE,","27"
"","","","2022-03-23 14:28:21.417","2022-03-23 14:28:21.417","2009-04-27 10:03:56.0","IF >5, NOTIFY ACC BY PHONE","test3","Animals","58","Stray animal in the area.","2009-05-06 00:00:00.0","4174 C D BANKS","B","Stray Animal","","35059","893652.00000000","1025304.00000000","CLOSED","ANIMAL CARE,","18"
"","","","2009-04-28 00:00:00.0","2011-04-29 10:08:50.0","2009-04-28 10:03:06.0","Derelict Vehicle - Private Property","","Vehicles","10","Derelict vehicle on private property","2009-05-28 00:00:00.0","6252 FAMOUS","B","Derelict-Privt Ppty","","35553","879642.00000000","1014267.00000000","CLOSED","NST,","24"
"","","","2009-05-11 00:00:00.0","2009-05-11 15:51:41.0","2009-04-29 09:21:36.0","Vacant Building, Unsecured","","Prpty Insp Exterior","16","Vacant building needs to be boarded up","2009-05-19 00:00:00.0","4122 NEBRASKA","B","Vacnt Bldg Unsecured","","35867","896044.00000000","1000451.00000000","CLOSED","BUILDING DIV,","09"
"WEB","","","2009-05-18 00:00:00.0","2009-05-18 16:23:28.0","2009-04-29 11:59:41.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","06","Inspect city tree","2009-05-19 00:00:00.0","5311 BLOW ST","B","Inspect City Tree","","36008","879938.00000000","997057.00000000","CLOSED","FORESTRY,","12"
"","","","2022-03-23 14:28:38.777","2022-03-23 14:28:38.777","2009-04-29 14:08:20.0","Enforce Ordinace","","Animals","30","Pet owner is not complying with animal laws","2009-05-08 00:00:00.0","3120 NEBRASKA","B","Enforce Ordinace","","36080","897162.00000000","1007449.00000000","CLOSED","ANIMAL CARE,","09"
"","St. Louis","","2009-05-11 00:00:00.0","2009-05-11 15:45:21.0","2009-04-30 08:48:12.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","06","Inspect city tree","2009-05-20 00:00:00.0","4834 MILENTZ AV","B","Inspect City Tree","","36241","882642.00000000","999100.00000000","CLOSED","FORESTRY,","13"
"WEB","","","2009-06-03 00:00:00.0","2009-12-17 12:49:00.0","2009-04-30 10:02:29.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","08","Inspect city tree","2009-05-20 00:00:00.0","6637 DEVONSHIRE","B","Inspect City Tree","","36342","875480.00000000","1003513.00000000","CLOSED","FORESTRY,","16"
"","","","2009-06-03 00:00:00.0","2009-12-17 12:49:00.0","2009-04-30 10:02:29.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","08","Inspect city tree","2009-05-20 00:00:00.0","6637 DEVONSHIRE","B","Inspect City Tree","","36342","875480.00000000","1003513.00000000","CLOSED","FORESTRY,","16"
"","St. Louis","","2009-05-09 00:00:00.0","2009-05-09 11:46:37.0","2009-04-30 12:21:03.0","Enforce Ordinace","","Animals","17","Pet owner is not complying with animal laws","2009-05-20 00:00:00.0","4448 COMPTON AV","B","Enforce Ordinace","","36432","894388.00000000","998463.00000000","CLOSED","ANIMAL CARE,","25"
"","St. Louis","","2009-05-13 00:00:00.0","2009-09-03 07:23:24.0","2009-04-30 16:24:09.0","Missed Cut - V Lot","","Weeds/Grass","15","Vacant lot missed on ward cutting rotation","2009-05-20 00:00:00.0","4329 HARTFORD ST","B","Missed Cut - V Lot","","36541","888124.00000000","1008848.00000000","CLOSED","FORESTRY,","10"
"","","","2009-05-09 00:00:00.0","2009-05-09 11:09:45.0","2009-05-01 08:20:32.0","IF >5, NOTIFY ACC BY PHONE","test3","Animals","56","Stray animal in the area.","2009-05-12 00:00:00.0","4200 ASHLAND","A","Stray Animal","","36566","897050.00000000","1030931.00000000","CLOSED","ANIMAL CARE,","04"
"","St. Louis","","2009-08-27 00:00:00.0","2009-08-27 16:01:22.0","2009-05-01 09:18:31.0","Derelict Vehicle - Private Property","","Vehicles","76","Derelict vehicle on private property","2009-06-02 00:00:00.0","5114 GOODFELLOW BLVD","B","Derelict-Privt Ppty","63136","36617","888193.00000000","1044977.00000000","CLOSED","NST,","27"
"","","","2009-05-05 00:00:00.0","2009-05-22 15:06:16.0","2009-05-01 09:44:10.0","water running (but not from vacant building)","","Water","52","Water visibly coming up from street","2009-05-14 00:00:00.0","5224 PALM","B","WTR-COMING-UP","","36644","889378.00000000","1035656.00000000","CLOSED","WATER DIV,","01"
"","","","2022-03-23 14:29:06.637","2022-03-23 14:29:06.637","2009-05-01 11:56:15.0","Enforce Ordinace","","Animals","05","Pet owner is not complying with animal laws","2009-05-12 00:00:00.0","3836 EILER","B","Enforce Ordinace","","36759","889043.00000000","997371.00000000","CLOSED","ANIMAL CARE,","13"
"","St. Louis","","2009-05-06 00:00:00.0","2009-05-07 11:45:12.0","2009-05-01 12:50:33.0","Cntnr knocking wires","Trash, yard waster, or recycling container is knocking overhead wires when it is emptied by truck.","Trash/Debris","56","Container is knocking overhead wires","2009-05-06 00:00:00.0","4025 LEXINGTON AVE","B","Cntnr knocking wires","63107","36804","898218.00000000","1030715.00000000","CLOSED","REFUSE,","21"
"","","","2009-07-09 00:00:00.0","2009-07-09 15:50:03.0","2009-05-01 14:16:06.0","Derelict Vehicle - Right of Way","","Vehicles","72","Derelict vehicle in the street","2009-05-21 00:00:00.0","5506 ORIOLE","B","Derelict-Rt of Way","","36859","891794.00000000","1045177.00000000","CLOSED","NST,","27"
"","","","2009-05-11 00:00:00.0","2009-05-11 16:48:43.0","2009-05-04 11:57:08.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","01","Inspect city tree","2009-05-22 00:00:00.0","5401 ALABAMA","B","Inspect City Tree","","37281","892289.00000000","995661.00000000","CLOSED","FORESTRY,","13"
"","","","2009-05-11 00:00:00.0","2009-05-11 16:28:47.0","2009-05-04 12:40:24.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","05","Inspect city tree","2009-05-22 00:00:00.0","4339 ELLENWOOD","B","Inspect City Tree","","37308","886803.00000000","1002429.00000000","CLOSED","FORESTRY,","14"
"WEB","","","2009-05-12 00:00:00.0","2009-05-12 16:15:25.0","2009-05-04 14:54:32.0","Property Maintenance Code - Exterior","","Prpty Insp Comml","55","Inspect for exterior building code violations","2009-05-22 00:00:00.0","4816 ST LOUIS AV","B","Ppty Maint Code-Ext","","37405","891194.00000000","1032399.00000000","CLOSED","BUILDING DIV,","04"
"","","","2009-05-11 00:00:00.0","2009-05-11 16:02:17.0","2009-05-05 08:37:00.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","05","Inspect city tree","2009-05-26 00:00:00.0","4429 ITASKA","B","Inspect City Tree","","37581","885887.00000000","1001702.00000000","CLOSED","FORESTRY,","14"
"","","","2022-03-23 14:29:27.467","2022-03-23 14:29:27.467","2009-05-05 10:25:59.0","IF >5, NOTIFY ACC BY PHONE","test3","Animals","69","Stray animal in the area.","2009-05-14 00:00:00.0","4851 ANDERSON","B","Stray Animal","","37749","893782.00000000","1037129.00000000","CLOSED","ANIMAL CARE,","01"
"","St. Louis","","2022-03-23 14:29:51.5","2022-03-23 14:29:51.5","2009-05-05 10:27:22.0","IF >5, NOTIFY ACC BY PHONE","test3","Animals","01","Stray animal in the area.","2009-05-14 00:00:00.0","7131 ALABAMA AV","B","Stray Animal","","37754","888774.00000000","990714.00000000","CLOSED","ANIMAL CARE,","11"
"","","","2022-03-23 14:30:21.937","2022-03-23 14:30:21.937","2009-05-05 12:21:59.0","Animal(s) Surrender","","Animals","16","Citizen wishes to surrender animal","2009-05-14 00:00:00.0","4234 S 38TH ","B","Animal(s) Surrender","","37919","892118.00000000","1000791.00000000","CLOSED","ANIMAL CARE,","25"
"","","","2009-05-11 00:00:00.0","2009-05-11 12:47:01.0","2009-05-05 13:05:04.0","Weeds-Vacant Lot","Seasonal Only. Service is available from March 1 through September 30.","Weeds/Grass","69","High weeds/grass on vacant lot","2009-05-26 00:00:00.0","4107 CAMELLIA","B","Weeds-Vacant Lot","","37951","895369.00000000","1034693.00000000","CLOSED","FORESTRY,","21"
"","St. Louis","","2009-05-26 00:00:00.0","2009-05-26 16:43:55.0","2009-05-05 13:14:37.0","Debris-Vacant Lot","","Trash/Debris","48","Debris on a vacant lot","2009-05-14 00:00:00.0","5836 CATES AVE","B","Debris-Vacant Lot","63112","37954","880844.86100000","1028320.41400000","CLOSED","FORESTRY,","26"
"WEB","St. Louis","","2009-05-26 00:00:00.0","2009-05-26 16:43:55.0","2009-05-05 13:14:37.0","Debris-Vacant Lot","","Trash/Debris","48","Debris on a vacant lot","2009-05-14 00:00:00.0","5836 CATES AVE","B","Debris-Vacant Lot","63112","37954","880844.86100000","1028320.41400000","CLOSED","FORESTRY,","26"
"WEB","St. Louis","","2009-05-26 00:00:00.0","2009-05-26 16:43:55.0","2009-05-05 13:14:37.0","Debris-Vacant Lot","","Trash/Debris","48","Debris on a vacant lot","2009-05-14 00:00:00.0","5836 CATES AVE","B","Debris-Vacant Lot","63112","37954","880844.86100000","1028320.41400000","CLOSED","FORESTRY,","26"
"","","","2009-05-20 00:00:00.0","2009-05-21 14:36:02.0","2009-05-05 14:22:43.0","Containr damaged","If you have a roll-out container, please leave it in the street until a Refuse maintenance crew comes to make repairs.","Graffiti","09","Container is damaged/has graffiti","2009-05-19 00:00:00.0","6343 THOLOZAN AVE","B","Containr damaged","63109","38003","877961.23100000","1006136.46600000","CLOSED","REFUSE,","23"
"","","","2009-10-23 00:00:00.0","2009-10-23 16:58:07.0","2009-05-06 09:22:16.0","Citizens' Service Bureau","","Weeds/Grass","74","","2010-10-19 00:00:00.0","920 BADEN","B","VBS Inquiry","","38211","896729.00000000","1047812.00000000","CLOSED","CSB,","02"
"","","","2011-03-10 00:00:00.0","2011-03-10 09:15:42.0","2009-05-07 12:17:12.0","Containr damaged","If you have a roll-out container, please leave it in the street until a Refuse maintenance crew comes to make repairs.","Graffiti","58","Container is damaged/has graffiti","2009-05-12 00:00:00.0","4027 PAGE","B","Containr damaged","","38778","895333.00000000","1025813.00000000","CLOSED","REFUSE,","19"
"","","","2009-05-12 10:18:30.0","2009-05-26 10:40:58.0","2009-05-08 16:00:46.0","Rats (Exterior)","","Animals","24","Rats seen - exterior of property","2009-05-15 00:00:00.0","2842 VICTOR","B","Rats (Exterior)","","39297","897676.00000000","1010054.00000000","CLOSED","VECTOR CNTRL,","07"
"WEB","St. Louis","","2009-07-10 00:00:00.0","2009-07-10 14:31:49.0","2009-05-11 14:08:47.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","06","Inspect city tree","2009-06-01 00:00:00.0","5631 LISETTE AV","B","Inspect City Tree","","39689","879727.00000000","998708.00000000","CLOSED","FORESTRY,","16"
"","St. Louis","","2009-05-28 00:00:00.0","2009-05-28 16:18:44.0","2009-05-11 15:20:45.0","Debris-Occupied Bldg","","Trash/Debris","01","Debris on an occupied property","2009-05-20 00:00:00.0","6518 MICHIGAN AVE","B","Debris-Occupied Bldg","63111","39749","891180.00000000","991688.00000000","CLOSED","FORESTRY,","11"
"","St. Louis","","2009-05-20 00:00:00.0","2009-05-21 14:05:01.0","2009-05-11 15:47:58.0","Did not get cart","","Trash/Debris","01","New resident did not get roll-cart","2009-05-19 00:00:00.0","6215 PENNSYLVANIA AVE","B","Did not get cart","63111","39774","892274.00000000","992124.00000000","CLOSED","REFUSE,","11"
"WEB","St. Louis","","2009-05-11 00:00:00.0","2009-05-14 13:41:43.0","2009-05-11 16:00:22.0","Dead Animal","","Animals","01","Dead animal in the right-of-way","2009-05-13 00:00:00.0","714 LOUGHBOROUGH AV","B","Dead Animal","","39786","889287.00000000","991387.00000000","CLOSED","REFUSE,","11"
"","","","2009-05-20 00:00:00.0","2009-05-20 16:33:12.0","2009-05-11 16:37:23.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","14","Inspect city tree","2009-06-01 00:00:00.0","4969 CHIPPEWA","B","Inspect City Tree","","39822","884322.00000000","1004384.00000000","CLOSED","FORESTRY,","10"
"WEB","St. Louis","","2009-07-10 00:00:00.0","2009-07-10 14:31:50.0","2009-05-12 07:30:46.0","Inspect Private Tree","Trees on private property are the property owner's responsibility to maintain. However, Forestry can inspect potentially hazardous trees. ","Trees","19","Inspect private tree - possibly hazardous","2009-06-02 00:00:00.0","3534-3536 OREGON AV","B","Inspect Private Tree","","39867","896965.00000000","1004167.00000000","CLOSED","FORESTRY,","20"
"","St. Louis","","2009-05-14 00:00:00.0","2009-05-14 10:25:30.0","2009-05-12 08:32:08.0","Cave-Ins","","Right of Way Issues","01","Street, alley or sidewalk cave-in","2009-05-15 00:00:00.0","7014 VIRGINIA AVE","B","Cave-Ins","63111","39906","889698.00000000","990559.00000000","CLOSED","STREET DEPT, 510","11"
"","St. Louis","","2009-05-15 00:00:00.0","2009-05-15 13:02:18.0","2009-05-12 14:00:20.0","Other Street Repair","","Right of Way Issues","40","Street repair (other than cave-in or pothole)","2009-05-19 00:00:00.0","MACKLIND AV @ MANCHESTER AV","A","Other Street Repair","","40206","884289.00000000","1016097.00000000","CLOSED","STREET DIVISION, 514","10"
"","","","2009-06-03 00:00:00.0","2009-06-03 16:39:48.0","2009-05-12 14:48:41.0","Derelict Vehicle - Right of Way","","Vehicles","72","Derelict vehicle in the street","2009-06-02 00:00:00.0","5825 SALOMA","B","Derelict-Rt of Way","","40270","889211.00000000","1043260.00000000","CLOSED","NST,","27"
"","","","2009-05-14 00:00:00.0","2010-06-15 13:04:56.0","2009-05-12 15:35:12.0","Derelict Vehicle - Private Property","","Vehicles","06","Derelict vehicle on private property","2009-06-11 00:00:00.0","5648 HOLLY HILLS AV","B","Derelict-Privt Ppty","","40321","879718.00000000","999204.00000000","CLOSED","NST,","16"
"","","","2009-06-04 00:00:00.0","2009-06-04 15:47:52.0","2009-05-12 16:07:53.0","Property Maintenance Code - Exterior","","Prpty Insp Comml","22","Inspect for exterior building code violations","2009-06-02 00:00:00.0","2123 LYNCH","B","Ppty Maint Code-Ext","","40342","900066.00000000","1008349.00000000","CLOSED","BUILDING DIV,","09"
