"CALLERTYPE","CITY","DATECANCELLED","DATEINVTDONE","DATETIMECLOSED","DATETIMEINIT","DESCRIPTION","EXPLANATION","GROUP","NEIGHBORHOOD","PLAIN_ENGLISH_NAME_FOR_PROBLEMCODE","PRJCOMPLETEDATE","PROBADDRESS","PROBADDTYPE","PROBLEMCODE","PROBZIP","REQUESTID","SRX","SRY","STATUS","SUBMITTO","WARD"
"","St. Louis","","2012-05-18 12:04:18.0","2013-05-06 11:52:12.0","2012-05-18 11:57:57.0","Derelict Vehicle - Private Property","","Vehicles","79","Derelict vehicle on private property","2012-06-19 00:00:00.0","7400 N BROADWAY","B","Derelict-Privt Ppty","","386799","898028.00000000","1043618.00000000","CLOSED","NST,","02"
"","St. Louis","","2012-05-18 12:13:59.0","2012-05-18 12:14:28.0","2012-05-18 12:13:57.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","02","Inspect city tree","2012-06-08 00:00:00.0","7900 MICHIGAN","B","Inspect City Tree","","386812","887944.00000000","988085.00000000","CLOSED","FORESTRY,","11"
"","St. Louis","","2012-05-18 12:27:24.0","2012-05-18 12:27:49.0","2012-05-18 12:27:22.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","15","Inspect city tree","2012-06-08 00:00:00.0","3185 PORTIS","B","Inspect City Tree","","386833","887305.00000000","1008317.00000000","CLOSED","FORESTRY,","10"
"","","2012-05-18 16:50:02.0","","","2012-05-18 12:40:58.0","Derelict Vehicle - Right of Way","","Vehicles","","Derelict vehicle in the street","2017-10-04 00:00:00.0","","B","Derelict-Rt of Way","","386846","","","CANCEL","NST,",""
"","St. Louis","","2012-06-11 12:48:50.0","2012-11-27 15:41:15.0","2012-05-18 13:09:40.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","06","Inspect city tree","2012-06-08 00:00:00.0","5425 NAGEL AVE","B","Inspect City Tree","","386852","879222.00000000","997213.00000000","CLOSED","FORESTRY,","12"
"","St. Louis","","2012-05-23 14:25:02.0","2012-05-23 14:25:02.0","2012-05-18 14:08:54.0","Land Reutilization Authority","","LRA","50","Board up LRA property","2012-07-02 00:00:00.0","1606 GOODFELLOW BLVD","B","LRA Board up","","386893","883458.00000000","1033970.00000000","CLOSED","LRA,","22"
"","","","2012-05-24 14:55:33.0","2012-05-24 14:55:35.0","2012-05-18 15:48:11.0","Illegal Use, Open Storage","Any zoning code violations, including derelict vehicles, appliances, etc. on private property","Prpty Insp Exterior","59","Inspect for violation of zoning code (including open storage)","2012-06-08 00:00:00.0","3510 N GRAND","B","Illegl Use-Opn Storg","","386955","900873.00000000","1029093.00000000","CLOSED","BUILDING DIV,","03"
"","","","2012-05-18 19:17:52.0","2012-05-18 19:17:52.0","2012-05-18 19:17:42.0","Short Term Initiativ","","NSO Initiatives","04","","2013-02-08 00:00:00.0","4620 QUINCY","B","Short Term Initiativ","","387013","881653.00000000","995802.00000000","CLOSED","NST,","12"
"","","","2012-05-18 19:45:25.0","2012-05-18 19:45:25.0","2012-05-18 19:45:17.0","Short Term Initiativ","","NSO Initiatives","06","","2013-02-12 00:00:00.0","4912 QUINCY","B","Short Term Initiativ","","387017","881242.00000000","996300.00000000","CLOSED","NST,","12"
"","","","2012-05-18 19:52:37.0","2012-05-18 19:52:37.0","2012-05-18 19:52:34.0","Short Term Initiativ","","NSO Initiatives","06","","2013-02-12 00:00:00.0","5200 QUINCY","B","Short Term Initiativ","","387020","880504.00000000","996810.00000000","CLOSED","NST,","12"
"WEB","St. Louis","","2012-05-21 14:04:24.797","2014-06-20 14:04:43.63","2012-05-20 11:01:22.0","Vehicle-Rt of Way","","Vehicles","01","Vehicle (operable) illegally parked in right of way","2012-06-11 00:00:00.0","6947 VERMONT AV","B","Vehicle-Rt of Way","63111","387096","889326.00000000","990878.00000000","CLOSED","TREAS PRKG SVC,","11"
"","","","2012-06-05 09:54:50.0","2012-06-05 09:54:50.0","2012-05-21 08:44:39.0","City Tree Limb Down","","Trees","55","Limb from a city tree has fallen","2012-05-29 00:00:00.0","4943 HIGHLAND AVE","B","City Tree Limb Down","","387176","889763.00000000","1032086.00000000","CLOSED","FORESTRY,","01"
"","","","2012-06-18 11:07:02.0","2012-06-18 11:07:33.0","2012-05-21 08:47:57.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","07","Inspect city tree","2012-06-11 00:00:00.0","5020 CHIPPEWA ST","B","Inspect City Tree","","387180","883835.00000000","1004230.00000000","CLOSED","FORESTRY,","14"
"WEB","St. Louis","","2012-05-22 14:04:53.087","2014-06-20 14:05:12.697","2012-05-21 09:37:30.0","Vehicle-Rt of Way","","Vehicles","31","Vehicle (operable) illegally parked in right of way","2012-06-11 00:00:00.0","2628 PARK AV","B","Vehicle-Rt of Way","63104","387213","899745.00000000","1014053.00000000","CLOSED","TREAS PRKG SVC,","06"
"","St. Louis","","2012-05-31 11:40:57.0","2012-05-31 11:41:18.0","2012-05-21 09:37:48.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","32","Inspect city tree","2012-06-11 00:00:00.0","1421 DOLMAN ST","B","Inspect City Tree","63104","387214","902915.00000000","1013233.00000000","CLOSED","FORESTRY,","07"
"","","","2012-05-31 10:17:08.0","2014-12-30 09:49:25.87","2012-05-21 09:53:47.0","Inspect Private Tree","Trees on private property are the property owner's responsibility to maintain. However, Forestry can inspect potentially hazardous trees. ","Trees","50","Inspect private tree - possibly hazardous","2012-06-11 00:00:00.0","5549 PALM AVE","B","Inspect Private Tree","","387225","887043.00000000","1037188.00000000","CLOSED","FORESTRY,","22"
"WEB","","","2012-05-31 10:17:08.0","2014-12-30 09:49:25.87","2012-05-21 09:53:47.0","Inspect Private Tree","Trees on private property are the property owner's responsibility to maintain. However, Forestry can inspect potentially hazardous trees. ","Trees","50","Inspect private tree - possibly hazardous","2012-06-11 00:00:00.0","5549 PALM AVE","B","Inspect Private Tree","","387225","887043.00000000","1037188.00000000","CLOSED","FORESTRY,","22"
"WEB","","","2012-05-31 10:17:08.0","2014-12-30 09:49:25.87","2012-05-21 09:53:47.0","Inspect Private Tree","Trees on private property are the property owner's responsibility to maintain. However, Forestry can inspect potentially hazardous trees. ","Trees","50","Inspect private tree - possibly hazardous","2012-06-11 00:00:00.0","5549 PALM AVE","B","Inspect Private Tree","","387225","887043.00000000","1037188.00000000","CLOSED","FORESTRY,","22"
"","","","2012-10-23 15:01:09.0","2012-10-23 15:01:09.0","2012-05-21 11:19:46.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","38","Inspect city tree","2012-06-11 00:00:00.0","600 N KINGSHIGHWAY","B","Inspect City Tree","","387317","887889.00000000","1025890.00000000","CLOSED","FORESTRY,","18"
"","","","2012-05-22 15:34:05.0","2012-05-24 15:34:05.0","2012-05-21 12:27:40.0","Cntnr knocking wires","Trash, yard waster, or recycling container is knocking overhead wires when it is emptied by truck.","Trash/Debris","71","Container is knocking overhead wires","2012-05-24 00:00:00.0","5305 EUCLID","B","Cntnr knocking wires","","387362","894546.00000000","1039023.00000000","CLOSED","REFUSE,","01"
"","St. Louis","","2012-05-23 15:43:30.0","2012-05-23 15:43:58.0","2012-05-21 14:26:13.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","16","Inspect city tree","2012-06-11 00:00:00.0","4646 - 4650 TENNESSEE AVE","B","Inspect City Tree","","387413","","","CLOSED","FORESTRY,","25"
"","","","2012-06-08 15:15:28.0","2012-06-08 15:15:30.0","2012-05-21 16:32:04.0","Illegal Use, Open Storage","Any zoning code violations, including derelict vehicles, appliances, etc. on private property","Prpty Insp Exterior","51","Inspect for violation of zoning code (including open storage)","2012-06-11 00:00:00.0","5191 CATES","B","Illegl Use-Opn Storg","","387485","885948.00000000","1027803.00000000","CLOSED","BUILDING DIV,","18"
"","St. Louis","","2012-05-22 09:33:21.0","2012-05-22 09:33:42.0","2012-05-22 09:33:19.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","55","Inspect city tree","2012-06-12 00:00:00.0","4943 HIGHLAND","B","Inspect City Tree","","387666","889763.00000000","1032086.00000000","CLOSED","FORESTRY,","01"
"","","2014-01-15 15:36:31.0","2012-06-18 09:19:04.0","","2012-05-22 10:16:23.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","13","Inspect city tree","2012-06-12 00:00:00.0","2119 - 2121 MAURY","B","Inspect City Tree","","387695","887519.00000000","1012554.00000000","CANCEL","FORESTRY,","08"
"","St. Louis","","2012-05-22 10:17:41.0","2012-05-22 10:17:59.0","2012-05-22 10:17:39.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","46","Inspect city tree","2012-06-12 00:00:00.0","5948 PERSHING","B","Inspect City Tree","","387699","879066.00000000","1025240.00000000","CLOSED","FORESTRY,","28"
"","St. Louis","","2012-05-22 10:21:30.0","2012-05-22 10:22:26.0","2012-05-22 10:21:28.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","08","Inspect city tree","2012-06-12 00:00:00.0","5808 ITASKA","B","Inspect City Tree","","387711","879293.00000000","1001883.00000000","CLOSED","FORESTRY,","16"
"","","","2012-05-31 12:14:03.0","2012-05-31 12:14:20.0","2012-05-22 11:00:33.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","07","Inspect city tree","2012-06-12 00:00:00.0","5707 WALSH","B","Inspect City Tree","","387785","879898.00000000","1001334.00000000","CLOSED","FORESTRY,","16"
"","","","2012-05-23 14:05:40.613","2014-06-20 14:05:58.5","2012-05-22 11:54:34.0","Vehicle-Rt of Way","","Vehicles","21","Vehicle (operable) illegally parked in right of way","2012-06-12 00:00:00.0","18TH ST & BARTON ST","A","Vehicle-Rt of Way","","387824","902082.00000000","1009099.00000000","CLOSED","TREAS PRKG SVC,","07"
"","St. Louis","","2012-05-22 13:29:54.0","2012-05-22 13:30:12.0","2012-05-22 13:29:53.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","09","Inspect city tree","2012-06-12 00:00:00.0","3631 TAMM","B","Inspect City Tree","","387895","877762.00000000","1006050.00000000","CLOSED","FORESTRY,","23"
"WEB","St. Louis","","2012-06-18 09:21:53.0","2012-06-18 09:22:51.0","2012-05-22 13:32:31.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","38","Inspect city tree","2012-06-12 00:00:00.0","4055 LACLEDE AV","B","Inspect City Tree","63108","387899","892784.00000000","1021019.00000000","CLOSED","FORESTRY,","17"
"","","2012-05-22 14:47:53.0","","","2012-05-22 13:52:40.0","Unsatisfy Cut - VLot","","Weeds/Grass","","Vacant lot cut incomplete","2017-10-04 00:00:00.0","","B","Unsatisfy Cut - VLot","","387916","","","CANCEL","FORESTRY,",""
"","St. Louis","","2012-05-22 14:59:58.0","2012-05-22 15:00:37.0","2012-05-22 14:59:52.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","05","Inspect city tree","2012-06-12 00:00:00.0","5100 CHRISTY BLK","B","Inspect City Tree","","387968","884378.00000000","1000783.00000000","CLOSED","FORESTRY,","14"
"","St. Louis","","2012-05-22 15:07:43.0","2012-05-22 15:08:21.0","2012-05-22 15:07:41.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","08","Inspect city tree","2012-06-12 00:00:00.0","6415 JAMIESON","B","Inspect City Tree","","387977","876506.00000000","998313.00000000","CLOSED","FORESTRY,","16"
"","St. Louis","","2012-05-22 15:09:08.0","2012-05-22 15:09:36.0","2012-05-22 15:09:06.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","14","Inspect city tree","2012-06-12 00:00:00.0","4968 FYLER","B","Inspect City Tree","","387978","884933.00000000","1007322.00000000","CLOSED","FORESTRY,","10"
"","St. Louis","","2012-05-22 15:11:08.0","2012-05-22 15:11:25.0","2012-05-22 15:11:07.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","06","Inspect city tree","2012-06-12 00:00:00.0","4933 FINKMAN","B","Inspect City Tree","","387980","881725.00000000","998799.00000000","CLOSED","FORESTRY,","12"
"","","2012-05-22 16:23:38.0","","","2012-05-22 15:31:19.0","Short Term Initiativ","","NSO Initiatives","66","","2013-02-14 00:00:00.0","4300 N 20TH","B","Short Term Initiativ","","387996","904007.00000000","1032124.00000000","CANCEL","NST,","03"
"WEB","St. Louis","","2012-05-31 10:08:49.0","2014-02-10 10:21:00.813","2012-05-22 17:15:01.0","Inspect Private Tree","Trees on private property are the property owner's responsibility to maintain. However, Forestry can inspect potentially hazardous trees. ","Trees","30","Inspect private tree - possibly hazardous","2012-06-13 00:00:00.0","3404 CHEROKEE ST","B","Inspect Private Tree","63118","388051","894648.00000000","1005525.00000000","CLOSED","FORESTRY,","09"
"","","","2012-05-23 08:04:47.0","2012-05-23 08:04:47.0","2012-05-23 08:04:40.0","Weeds-Vacant Lot","Seasonal Only. Service is available from March 1 through September 30.","Weeds/Grass","72","High weeds/grass on vacant lot","2012-06-13 00:00:00.0","4704 GENEVIEVE","B","Weeds-Vacant Lot","","388123","889460.00000000","1041007.00000000","CLOSED","FORESTRY,","27"
"","St. Louis","","2012-05-23 08:53:23.0","2012-05-23 08:53:42.0","2012-05-23 08:53:21.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","68","Inspect city tree","2012-06-13 00:00:00.0","4449 RED BUD ","B","Inspect City Tree","","388156","898629.00000000","1035143.00000000","CLOSED","FORESTRY,","21"
"WEB","St. Louis","","2012-06-13 09:51:27.0","2012-06-13 09:51:45.0","2012-05-23 09:07:44.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","18","Inspect city tree","2012-06-13 00:00:00.0","4018 MISSOURI","B","Inspect City Tree","63118","388176","898761.00000000","1000740.00000000","CLOSED","FORESTRY,","20"
"","St. Louis","","2012-05-23 10:44:28.0","2012-05-23 10:45:05.0","2012-05-23 10:44:26.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","08","Inspect city tree","2012-06-13 00:00:00.0","5225 DONOVAN","B","Inspect City Tree","","388271","876059.00000000","1001739.00000000","CLOSED","FORESTRY,","16"
"","St. Louis","","2012-05-23 10:46:44.0","2012-05-23 10:47:00.0","2012-05-23 10:46:42.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","09","Inspect city tree","2012-06-13 00:00:00.0","3115 HAMPTON","B","Inspect City Tree","","388274","880357.00000000","1009824.00000000","CLOSED","FORESTRY,","23"
"","St. Louis","","2012-05-23 10:47:31.0","2012-05-23 10:47:57.0","2012-05-23 10:47:29.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","08","Inspect city tree","2012-06-13 00:00:00.0","6216 ITASKA","B","Inspect City Tree","","388275","878362.00000000","1002006.00000000","CLOSED","FORESTRY,","16"
"","","","","","2012-05-23 11:36:32.0","Caller Name/# required","","Animals","21","Report stray cat(s)","2012-06-04 00:00:00.0","2219 S 10TH ST","B","Stray Cat","","388315","903798.00000000","1009425.00000000","Cancel","METRO ANIMAL,","07"
"","","","2012-05-31 12:02:39.0","2012-05-31 12:06:14.0","2012-05-23 13:01:43.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","09","Inspect city tree","2012-06-13 00:00:00.0","3505 MCCAUSLAND","B","Inspect City Tree","","388368","874092.00000000","1007543.00000000","CLOSED","FORESTRY,","23"
"","St. Louis","","2012-06-11 12:11:05.0","2012-06-11 12:11:38.0","2012-05-23 13:23:01.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","05","Inspect city tree","2012-06-13 00:00:00.0","4177 BURGEN AVE","B","Inspect City Tree","","388379","886330.00000000","998288.00000000","CLOSED","FORESTRY,","13"
"WEB","St. Louis","","2012-05-24 14:06:12.81","2014-06-20 14:06:30.463","2012-05-23 15:25:56.0","Vehicle-Rt of Way","","Vehicles","04","Vehicle (operable) illegally parked in right of way","2012-06-13 00:00:00.0","4300 TESSON ST","B","Vehicle-Rt of Way","63123","388467","881939.00000000","992428.00000000","CLOSED","TREAS PRKG SVC,","12"
"","St. Louis","","2012-05-23 16:48:08.0","2012-05-23 16:48:23.0","2012-05-23 16:48:06.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","06","Inspect city tree","2012-06-13 00:00:00.0","5650 MILENTZ","B","Inspect City Tree","","388508","879792.00000000","999882.00000000","CLOSED","FORESTRY,","12"
"","St. Louis","","","","2012-05-24 08:07:24.0","Caller Name/# required","","Animals","16","Report stray cat(s)","2012-06-05 00:00:00.0","5026 VIRGINIA AVE","B","Stray Cat","","388542","893293.00000000","996155.00000000","Cancel","METRO ANIMAL,","25"
"","St. Louis","","2012-05-25 14:06:56.3","2014-06-20 14:07:18.017","2012-05-24 08:34:54.0","Vehicle-Rt of Way","","Vehicles","27","Vehicle (operable) illegally parked in right of way","2012-06-14 00:00:00.0","KLEMM ST & SHAW AVE","A","Vehicle-Rt of Way","","388568","890616.00000000","1013384.00000000","CLOSED","TREAS PRKG SVC,","08"
"","","","2012-06-15 16:10:31.0","2012-06-15 16:10:32.0","2012-05-24 08:46:36.0","Vacant Building, Unsecured","","Prpty Insp Exterior","68","Vacant building needs to be boarded up","2012-06-14 00:00:00.0","4552 ALICE AVE","B","Vacnt Bldg Unsecured","","388581","900134.00000000","1034171.00000000","CLOSED","BUILDING DIV,","21"
"WEB","St. Louis","","2012-06-11 12:34:42.0","2012-06-11 12:35:03.0","2012-05-24 09:30:08.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","47","Inspect city tree","2012-06-14 00:00:00.0","5636 WATERMAN BLVD","B","Inspect City Tree","63112","388621","882100.00000000","1025355.00000000","CLOSED","FORESTRY,","26"
"","","","2012-06-01 08:25:37.0","2012-06-01 08:25:39.0","2012-05-24 09:42:59.0","Vacant Building, Unsecured","","Prpty Insp Exterior","68","Vacant building needs to be boarded up","2012-06-14 00:00:00.0","4116 ROSALIE AVE","B","Vacnt Bldg Unsecured","","388627","899013.00000000","1034586.00000000","CLOSED","BUILDING DIV,","21"
"","","","2012-06-04 15:45:29.0","2012-06-04 15:45:43.0","2012-05-24 10:52:46.0","Property Maintenance Code - Exterior","","Prpty Insp Comml","44","Inspect for exterior building code violations","2012-06-14 00:00:00.0","6672 OAKLAND","B","Ppty Maint Code-Ext","","388714","877243.00000000","1018954.00000000","CLOSED","BUILDING DIV,","28"
"","St. Louis","","2012-05-24 11:16:39.0","2012-05-24 11:16:57.0","2012-05-24 11:16:37.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","01","Inspect city tree","2012-06-14 00:00:00.0","1123 HOLLY HILLS OPP","B","Inspect City Tree","","388742","889348.00000000","993583.00000000","CLOSED","FORESTRY,","11"
"","St. Louis","","2012-05-24 12:00:15.0","2013-01-15 11:45:55.0","2012-05-24 12:00:12.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","05","Inspect city tree","2012-06-14 00:00:00.0","4630 GRAVOIS","B","Inspect City Tree","","388787","887571.00000000","1001256.00000000","CLOSED","FORESTRY,","14"
"","St. Louis","","2012-05-24 12:08:30.0","2012-05-24 12:08:56.0","2012-05-24 12:08:28.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","06","Inspect city tree","2012-06-14 00:00:00.0","6633 - 6639 S KINGSHIGHWAY","B","Inspect City Tree","","388796","881863.00000000","997045.00000000","CLOSED","FORESTRY,","12"
"","","","","","2012-05-24 12:48:59.0","Caller Name/# required","","Animals","21","Report stray cat(s)","2012-06-05 00:00:00.0","1200 ALLEN MARKET LN","B","Stray Cat","","388828","903015.00000000","1010388.00000000","Cancel","METRO ANIMAL,","07"
"","St. Louis","","2012-05-31 10:50:05.0","2015-04-08 16:10:37.37","2012-05-24 13:02:18.0","Inspect Private Tree","Trees on private property are the property owner's responsibility to maintain. However, Forestry can inspect potentially hazardous trees. ","Trees","15","Inspect private tree - possibly hazardous","2012-06-14 00:00:00.0","4332 ARSENAL","B","Inspect Private Tree","63103","388838","888084.00000000","1009010.00000000","CLOSED","FORESTRY,","10"
"","St. Louis","","2012-05-31 10:50:05.0","2015-04-08 16:10:37.37","2012-05-24 13:02:18.0","Inspect Private Tree","Trees on private property are the property owner's responsibility to maintain. However, Forestry can inspect potentially hazardous trees. ","Trees","15","Inspect private tree - possibly hazardous","2012-06-14 00:00:00.0","4332 ARSENAL","B","Inspect Private Tree","63103","388838","888084.00000000","1009010.00000000","CLOSED","FORESTRY,","10"
"","","","2012-05-31 12:09:49.0","2012-05-31 12:10:24.0","2012-05-24 13:45:16.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","08","Inspect city tree","2012-06-14 00:00:00.0","6067 LANSDOWNE AVE","B","Inspect City Tree","","388861","878270.00000000","1003838.00000000","CLOSED","FORESTRY,","16"
"","","","2012-05-31 10:53:31.0","2012-05-31 10:54:01.0","2012-05-24 14:29:43.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","47","Inspect city tree","2012-06-14 00:00:00.0","5585 PERSHING","B","Inspect City Tree","","388897","","","CLOSED","FORESTRY,","28"
"WEB","St. Louis","","2012-05-25 14:07:29.58","2014-06-20 14:07:49.06","2012-05-24 14:53:48.0","Vehicle-Rt of Way","","Vehicles","07","Vehicle (operable) illegally parked in right of way","2012-06-14 00:00:00.0","DEVONSHIRE AVE & MACKLIND AVE","A","Vehicle-Rt of Way","","388913","881914.00000000","1002944.00000000","CLOSED","TREAS PRKG SVC,","16"
"","","","2012-05-31 12:13:29.0","2012-05-31 12:13:54.0","2012-05-24 15:14:29.0","City Tree Limb Down","","Trees","07","Limb from a city tree has fallen","2012-06-01 00:00:00.0","4550 JANUARY","B","City Tree Limb Down","","388929","880839.00000000","1003181.00000000","CLOSED","FORESTRY,","16"
"","","","2012-05-31 12:13:29.0","2012-05-31 12:13:54.0","2012-05-24 15:14:29.0","City Tree Limb Down","","Trees","07","Limb from a city tree has fallen","2012-06-01 00:00:00.0","4550 JANUARY","B","City Tree Limb Down","","388929","880839.00000000","1003181.00000000","CLOSED","FORESTRY,","16"
"","","","2012-05-25 00:00:00.0","2012-05-29 23:36:11.0","2012-05-24 16:28:36.0","Potholes - Major St","","Right of Way Issues","82","Pothole in a major/arterial street","2012-05-30 00:00:00.0","5620 GRAND DR","B","Potholes - Major St","","388982","881863.00000000","1021310.00000000","CLOSED","STREET DIVISION, 514","28"
"","","2012-05-25 07:57:22.0","","","2012-05-24 16:39:28.0","Weeds-Occupied Ppty","","Weeds/Grass","","Inspect occupied property for high grass/weeds","2017-10-04 00:00:00.0","","B","Weeds-Occupied Ppty","","388993","","","CANCEL","FORESTRY,",""
"","","","2012-05-24 18:20:25.0","2012-05-24 22:52:27.0","2012-05-24 17:37:44.0","Traffic and Lighting Division","","Street Sign/Painting","35","Misc request to Traffic Division","2012-06-14 00:00:00.0","N 7TH ST & OLIVE ST","A","Misc-Traffic Div","","389009","908394.57700000","1017767.55800000","CLOSED","TRAFFIC DIVISION, 511","07"
"WEB","St. Louis","","","","2012-05-24 19:16:18.0","Caller Name/# required","","Animals","69","Report stray cat(s)","2012-06-05 00:00:00.0","4625 LEE AV","B","Stray Cat","63115","389017","894876.00000000","1035435.00000000","Cancel","METRO ANIMAL,","21"
"","St. Louis","","2012-05-29 10:26:21.0","2012-07-11 09:26:53.0","2012-05-24 20:40:19.0","Debris-Vacant Lot","","Trash/Debris","74","Debris on a vacant lot","2012-06-14 00:00:00.0","7737 HALL ST","B","Debris-Vacant Lot","","389036","897875.00000000","1046372.00000000","CLOSED","FORESTRY,","02"
"","St. Louis","","2016-10-13 12:23:31.097","2016-10-13 12:23:31.097","2012-05-24 21:12:26.0","VACANT BLDG INITIV","","NSO Initiatives","64","","2012-07-09 00:00:00.0","814 BUCHANAN ST","B","VACANT BLDG INITIV","","389040","907561.00000000","1028635.00000000","CLOSED","PPU CITY COUNSELOR,","02"
